run,lc_request_count,lc_p95_ms,lc_p99_ms,mean_union_overlap_ms,p95_union_overlap_ms,mean_union_overlap_frac,mean_weighted_overlap_ms,p95_weighted_overlap_ms,mean_weighted_overlap_frac,mean_overlap_count,p95_overlap_count,mean_max_concurrent_be,p95_max_concurrent_be,duration_vs_union_overlap_corr,duration_vs_weighted_overlap_corr,slow_request_threshold_ms,slow_request_count,slow_mean_union_overlap_ms,normal_mean_union_overlap_ms,slow_mean_weighted_overlap_ms,normal_mean_weighted_overlap_ms,slow_mean_overlap_count,normal_mean_overlap_count,slow_mean_max_concurrent_be,normal_mean_max_concurrent_be
axis_lc_vs_1_be_long_warm_r1,300,31.000311,35.010351099999994,20.6535402,30.05030145000001,0.8657902857550196,20.6535402,30.05030145000001,0.8657902857550196,0.9666666666666667,2.0,0.8833333333333333,1.0,0.45402296767103695,0.45402296767103695,31.000311,17,29.529707705882352,20.120342858657242,29.529707705882352,20.120342858657242,1,0.9646643109540636,0.8823529411764706,0.8833922261484098
axis_lc_vs_1_be_long_warm_r2,300,31.00031105,35.000352,19.993534246666666,29.00029105,0.8478545595109328,19.993534246666666,29.00029105,0.8478545595109328,0.9833333333333333,2.0,0.8666666666666667,1.0,0.3552124346647351,0.3552124346647351,31.00031105,15,26.4669328,19.65282905964912,26.4669328,19.65282905964912,0.8,0.9929824561403509,0.8,0.8701754385964913
axis_lc_vs_1_be_long_warm_r3,300,30.050303450000012,34.01034309999999,19.126859473333333,28.000283,0.8181666874861576,19.126859473333333,28.000283,0.8181666874861576,0.9566666666666667,2.0,0.84,1.0,0.34616979250734536,0.34616979250734536,30.050303450000012,15,27.600278333333332,18.680890059649123,27.600278333333332,18.680890059649123,1.0666666666666667,0.9508771929824561,0.8666666666666667,0.8385964912280702
axis_lc_vs_4_be_chunked_warm_r1,300,31.000311,34.000341,22.203556103333334,31.000311,0.9254861110460076,82.49082765333333,118.05118445000002,3.4457233175222846,3.98,6.0,3.52,4.0,0.5452098529805746,0.42307331352740074,31.000311,19,32.15821731578947,21.5304651316726,109.63267852631579,80.65561353736655,4.2105263157894735,3.9644128113879002,3.473684210526316,3.5231316725978647
axis_lc_vs_4_be_chunked_warm_r2,300,30.000302050000002,34.000342,22.06688873,30.000302,0.9166666666666666,83.19750389,116.05116850000002,3.4567706157243694,3.99,6.0,3.526666666666667,4.0,0.55812302266115,0.49883907838225694,30.000302050000002,15,30.200303866666665,21.638814249122806,104.86772166666667,82.0569661122807,3.7333333333333334,4.003508771929824,3.2666666666666666,3.5403508771929824
axis_lc_vs_4_be_chunked_warm_r3,300,31.000313,34.01034309999999,21.95688822,30.050303450000012,0.9180459769837498,83.06750487000001,117.05118145000002,3.4701632000699467,3.9766666666666666,6.0,3.546666666666667,4.0,0.5029675323541426,0.46785651017033647,31.000313,16,28.812790812499998,21.57064018661972,105.6885666875,81.79307885211267,3.4375,4.007042253521127,3.25,3.563380281690141
pair1_chunk1_lc_vs_1_be_chunked,300,29.000286,32.00031501,20.126865143333333,28.000276,0.8727404240980536,20.126865143333333,28.000276,0.8727404240980536,1.0066666666666666,2.0,0.8933333333333333,1.0,0.38775999834772173,0.38775999834772173,29.000286,20,24.350240149999998,19.8251955,24.35024015,19.8251955,1,1.0071428571428571,0.85,0.8964285714285715
pair1_long4_lc_vs_4_be_long,300,40.05038350000001,49.00047,32.99031629666667,40.05038350000001,1.0,130.77792049666667,156.15149735000006,3.9617533045471016,4.333333333333333,7.0,4,4.0,1.0,0.9900400714261584,40.05038350000001,15,46.600447,32.27399362807017,183.93509773333332,127.98017432631579,4.533333333333333,4.32280701754386,4,4
pair2_chunk1_lc_vs_1_be_chunked,300,31.000307,33.000327,19.456859803333334,28.100279000000025,0.8347885781070828,19.456859803333334,28.100279000000025,0.8347885781070828,0.9533333333333334,2.0,0.8533333333333334,1.0,0.24685299890132512,0.24685299890132512,31.000307,17,24.059062235294117,19.18040241342756,24.059062235294117,19.18040241342756,0.8235294117647058,0.9611307420494699,0.7647058823529411,0.8586572438162544
pair2_long4_lc_vs_4_be_long,300,39.000378049999995,47.00045601,32.450314553333335,39.000378049999995,1.0,128.63458023666666,156.00151219999998,3.962177940952511,4.293333333333333,5.0,4,4.0,1.0,0.9947189432064166,39.000378049999995,15,44.067094133333335,31.838905101754385,175.46836873333334,126.169644,4.2,4.298245614035087,4,4
pair3_chunk1_lc_vs_1_be_chunked,300,31.000309,34.000339,19.973532656666666,28.000279,0.848036383279172,19.973532656666666,28.000279,0.848036383279172,0.9966666666666667,2.0,0.87,1.0,0.3259302870167381,0.3259302870167381,31.000309,16,25.0002495625,19.69033733802817,25.0002495625,19.69033733802817,1.125,0.9894366197183099,0.8125,0.8732394366197183
pair3_long4_lc_vs_4_be_long,300,39.000381,41.01040109999999,31.783644286666668,39.000381,1.0,125.92123193,155.05151545,3.960524371301852,4.306666666666667,5.0,4,4.0,1.0000000000000002,0.9925124036467832,39.000381,18,40.50039611111111,31.227255872340425,160.55712583333332,123.71043019148937,4.277777777777778,4.308510638297872,4,4
