run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,2,LC_REQUEST,1211350539467714,1211350562467943,23.000229,23.000229,1.000000,23.000229,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,3,LC_PREFILL_SUBMISSION,1211350542467744,1211350545467774,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,4,LC_PREFILL_SYNC,1211350548467804,1211350551467834,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,5,LC_DECODE_STEP,1211350554467863,1211350560467923,6.000060,6.000060,1.000000,6.000060,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,6,LC_REQUEST,1211350566467983,1211350593468252,27.000269,27.000269,1.000000,27.000269,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,7,LC_PREFILL_SUBMISSION,1211350569468013,1211350571468033,2.000020,2.000020,1.000000,2.000020,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,8,LC_PREFILL_SYNC,1211350575468073,1211350577468093,2.000020,2.000020,1.000000,2.000020,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,9,LC_DECODE_STEP,1211350580468123,1211350587468193,7.000070,7.000070,1.000000,7.000070,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,10,LC_REQUEST,1211350599468312,1211350626468582,27.000270,27.000270,1.000000,27.000270,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,11,LC_PREFILL_SUBMISSION,1211350604468362,1211350607468392,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,12,LC_PREFILL_SYNC,1211350611468432,1211350613468452,2.000020,2.000020,1.000000,2.000020,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,13,LC_DECODE_STEP,1211350616468482,1211350623468552,7.000070,7.000070,1.000000,7.000070,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,14,LC_REQUEST,1211350630468622,1211350650468821,20.000199,20.000199,1.000000,20.000199,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,15,LC_PREFILL_SUBMISSION,1211350633468651,1211350636468681,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,16,LC_PREFILL_SYNC,1211350639468711,1211350641468731,2.000020,2.000020,1.000000,2.000020,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,17,LC_DECODE_STEP,1211350644468761,1211350647468791,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,18,LC_REQUEST,1211350655468871,1211350679469110,24.000239,24.000239,1.000000,24.000239,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,2723494,2723494,19,LC_PREFILL_SUBMISSION,1211350657468891,1211350660468921,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
