run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
pair3_long4_lc_vs_4_be_long,2718400,2718400,2,LC_REQUEST,1211175968742660,1211175994742914,26.000254,26.000254,1.000000,104.001016,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,3,LC_PREFILL_SUBMISSION,1211175971742689,1211175974742719,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,4,LC_PREFILL_SYNC,1211175977742748,1211175980742777,3.000029,3.000029,1.000000,12.000116,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,5,LC_DECODE_STEP,1211175983742807,1211175991742885,8.000078,8.000078,1.000000,32.000312,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,6,LC_REQUEST,1211175998742953,1211176032743286,34.000333,34.000333,1.000000,136.001332,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,7,LC_PREFILL_SUBMISSION,1211176001742983,1211176003743002,2.000019,2.000019,1.000000,8.000076,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,8,LC_PREFILL_SYNC,1211176006743032,1211176016743129,10.000097,10.000097,1.000000,40.000388,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,9,LC_DECODE_STEP,1211176019743158,1211176029743256,10.000098,10.000098,1.000000,40.000392,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,10,LC_REQUEST,1211176036743325,1211176066743618,30.000293,30.000293,1.000000,120.001172,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,11,LC_PREFILL_SUBMISSION,1211176039743354,1211176042743383,3.000029,3.000029,1.000000,12.000116,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,12,LC_PREFILL_SYNC,1211176045743413,1211176053743491,8.000078,8.000078,1.000000,32.000312,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,13,LC_DECODE_STEP,1211176056743520,1211176063743589,7.000069,7.000069,1.000000,28.000276,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,14,LC_REQUEST,1211176069743647,1211176093743882,24.000235,24.000235,1.000000,89.000872,3.708333,6,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,15,LC_PREFILL_SUBMISSION,1211176072743677,1211176075743706,3.000029,3.000029,1.000000,10.000097,3.333333,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,16,LC_PREFILL_SYNC,1211176079743745,1211176081743765,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,17,LC_DECODE_STEP,1211176084743794,1211176090743853,6.000059,6.000059,1.000000,20.000197,3.333333,5,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,18,LC_REQUEST,1211176097743921,1211176125744195,28.000274,28.000274,1.000000,112.001096,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,19,LC_PREFILL_SUBMISSION,1211176100743950,1211176103743980,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,20,LC_PREFILL_SYNC,1211176106744009,1211176112744068,6.000059,6.000059,1.000000,24.000236,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,21,LC_DECODE_STEP,1211176115744097,1211176122744165,7.000068,7.000068,1.000000,28.000272,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,22,LC_REQUEST,1211176129744234,1211176154744478,25.000244,25.000244,1.000000,100.000976,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,23,LC_PREFILL_SUBMISSION,1211176132744263,1211176135744293,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,24,LC_PREFILL_SYNC,1211176138744322,1211176140744341,2.000019,2.000019,1.000000,8.000076,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,25,LC_DECODE_STEP,1211176143744371,1211176151744449,8.000078,8.000078,1.000000,32.000312,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,26,LC_REQUEST,1211176158744517,1211176199744918,41.000401,41.000401,1.000000,164.001604,4.000000,4,4
pair3_long4_lc_vs_4_be_long,2718400,2718400,27,LC_PREFILL_SUBMISSION,1211176161744547,1211176164744576,3.000029,3.000029,1.000000,12.000116,4.000000,4,4
