run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
axis_lc_vs_1_be_long_warm_r3,224147,224147,2,LC_REQUEST,13705093861083,13705116861326,23.000243,23.000243,1.000000,23.000243,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,3,LC_PREFILL_SUBMISSION,13705095861104,13705098861136,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,4,LC_PREFILL_SYNC,13705101861167,13705104861199,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,5,LC_DECODE_STEP,13705107861231,13705114861305,7.000074,7.000074,1.000000,7.000074,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,6,LC_REQUEST,13705121861379,13705146861644,25.000265,24.000254,0.960000,24.000254,0.960000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,7,LC_PREFILL_SUBMISSION,13705123861400,13705126861432,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,8,LC_PREFILL_SYNC,13705129861464,13705133861506,4.000042,4.000042,1.000000,4.000042,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,9,LC_DECODE_STEP,13705136861538,13705143861612,7.000074,7.000074,1.000000,7.000074,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,10,LC_REQUEST,13705150861686,13705175861951,25.000265,25.000265,1.000000,25.000265,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,11,LC_PREFILL_SUBMISSION,13705152861707,13705155861739,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,12,LC_PREFILL_SYNC,13705158861771,13705161861803,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,13,LC_DECODE_STEP,13705164861835,13705173861930,9.000095,9.000095,1.000000,9.000095,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,14,LC_REQUEST,13705180862004,13705203862248,23.000244,23.000244,1.000000,23.000244,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,15,LC_PREFILL_SUBMISSION,13705182862025,13705185862057,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,16,LC_PREFILL_SYNC,13705188862089,13705191862120,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,17,LC_DECODE_STEP,13705194862152,13705200862216,6.000064,6.000064,1.000000,6.000064,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,18,LC_REQUEST,13705207862290,13705230862533,23.000243,23.000243,1.000000,23.000243,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,19,LC_PREFILL_SUBMISSION,13705210862322,13705213862353,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,20,LC_PREFILL_SYNC,13705215862375,13705218862406,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,21,LC_DECODE_STEP,13705221862438,13705227862502,6.000064,6.000064,1.000000,6.000064,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,22,LC_REQUEST,13705234862576,13705261862862,27.000286,27.000286,1.000000,27.000286,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,23,LC_PREFILL_SUBMISSION,13705237862608,13705240862639,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,24,LC_PREFILL_SYNC,13705243862671,13705246862703,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,25,LC_DECODE_STEP,13705248862724,13705258862830,10.000106,10.000106,1.000000,10.000106,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,26,LC_REQUEST,13705265862904,13705290863169,25.000265,22.000233,0.880000,22.000233,0.880000,2,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,27,LC_PREFILL_SUBMISSION,13705268862936,13705270862957,2.000021,1.000010,0.500000,1.000010,0.500000,1,1
axis_lc_vs_1_be_long_warm_r3,224147,224147,28,LC_PREFILL_SYNC,13705273862989,13705276863021,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
