run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,2,LC_REQUEST,13689133692080,13689156692324,23.000244,23.000244,1.000000,92.000976,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,3,LC_PREFILL_SUBMISSION,13689135692101,13689138692133,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,4,LC_PREFILL_SYNC,13689140692154,13689144692197,4.000043,4.000043,1.000000,16.000172,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,5,LC_DECODE_STEP,13689147692228,13689152692281,5.000053,5.000053,1.000000,20.000212,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,6,LC_REQUEST,13689160692366,13689181692589,21.000223,21.000223,1.000000,79.000839,3.761905,6,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,7,LC_PREFILL_SUBMISSION,13689163692398,13689166692430,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,8,LC_PREFILL_SYNC,13689169692461,13689172692493,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,9,LC_DECODE_STEP,13689175692525,13689178692557,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,10,LC_REQUEST,13689185692631,13689207692864,22.000233,22.000233,1.000000,88.000932,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,11,LC_PREFILL_SUBMISSION,13689188692663,13689191692694,3.000031,3.000031,1.000000,12.000124,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,12,LC_PREFILL_SYNC,13689194692726,13689197692758,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,13,LC_DECODE_STEP,13689200692790,13689204692832,4.000042,4.000042,1.000000,16.000168,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,14,LC_REQUEST,13689211692906,13689233693139,22.000233,22.000233,1.000000,88.000932,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,15,LC_PREFILL_SUBMISSION,13689213692927,13689216692959,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,16,LC_PREFILL_SYNC,13689219692991,13689222693023,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,17,LC_DECODE_STEP,13689225693054,13689230693107,5.000053,5.000053,1.000000,20.000212,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,18,LC_REQUEST,13689237693182,13689260693425,23.000243,23.000243,1.000000,89.000940,3.869565,5,4
axis_lc_vs_4_be_chunked_warm_r2,223879,223879,19,LC_PREFILL_SUBMISSION,13689240693213,13689243693245,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
