run,be_phase_types,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
axis_lc_vs_1_be_long_warm_r1,BE_LONG_BATCH,1,50,50,104.22110304,112.501191,123.1013031,129.59137144999997,134.001418,69.00073,20.619497923109243,5211.055152,5354.056665,9.338713265187305,9.338713265187305
axis_lc_vs_1_be_long_warm_r2,BE_LONG_BATCH,1,50,50,103.46109528,113.001196,123.10130355,132.53140283,134.001419,67.000709,21.877635883989708,5173.054764,5316.05628,9.405468521488265,9.405468521488265
axis_lc_vs_1_be_long_warm_r3,BE_LONG_BATCH,1,50,50,104.36110512,113.001197,124.55131904999999,131.55139302999999,134.001419,69.00073,21.256446397080303,5218.055256,5361.056773,9.326519400394345,9.326519400394345
axis_lc_vs_4_be_chunked_warm_r1,BE_CHUNKED_BATCH,4,200,200,126.221336055,128.001355,139.05147155,144.01152509,147.001556,105.001111,9.93666776480649,25244.267211,6598.069842,30.311894961599286,7.5779737403998215
axis_lc_vs_4_be_chunked_warm_r2,BE_CHUNKED_BATCH,4,200,200,126.366337975,129.001366,140.001482,146.0115461,150.001589,106.001122,10.252294276386575,25273.267595,6630.070203,30.165593104806526,7.541398276201631
axis_lc_vs_4_be_chunked_warm_r3,BE_CHUNKED_BATCH,4,200,200,126.096335545,128.001355,140.001483,144.02152520999996,148.001568,106.001123,9.931324680373427,25219.267109,6703.070997,29.837070215951943,7.459267553987986
be_chunked_alone_warm_r1,BE_CHUNKED_BATCH,1,50,50,119.10125346,123.001294,127.00133654999999,128.001347,128.001347,103.001084,7.890273254803213,5955.062673,6089.064084,8.211442564939182,8.211442564939182
be_chunked_alone_warm_r2,BE_CHUNKED_BATCH,1,50,50,122.02128488,125.001316,129.001358,161.6417017399999,193.002032,106.001116,12.815129285126977,6101.064244,6242.065731,8.010168773405377,8.010168773405377
be_chunked_alone_warm_r3,BE_CHUNKED_BATCH,1,50,50,121.24127734,125.001317,128.5513545,131.55138603,134.001412,107.001127,7.552778840079852,6062.063867,6210.065429,8.051444960065654,8.051444960065654
be_long_alone_warm_r1,BE_LONG_BATCH,1,50,50,96.18101186,108.001136,120.10126355,127.53134181,129.001357,67.000705,22.765850937866265,4809.050593,4954.052123,10.092748069376741,10.092748069376741
be_long_alone_warm_r2,BE_LONG_BATCH,1,50,50,97.26102394,110.001158,121.10127499999999,126.57133173999999,130.001368,67.000705,22.35161294379566,4863.051197,5010.052743,9.979934855947283,9.979934855947283
be_long_alone_warm_r3,BE_LONG_BATCH,1,50,50,98.8810416,110.001158,120.55127005,126.06132761999999,129.001358,67.000706,21.59259184267476,4944.05208,5098.053699,9.80766444453256,9.80766444453256
pair1_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,119.82126631999999,124.001311,129.00136355,130.00137351,130.001374,103.001089,9.460414419287973,5991.063316,6131.064793,8.155190279033805,8.155190279033805
pair1_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,266.9278141,272.502873,305.00321505,312.1332913599999,327.003447,136.001434,29.60710501787751,53385.56282,13739.144847,14.556946755217508,3.639236688804377
pair2_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,119.82126704,124.001312,128.001354,129.51136959,130.001374,103.001089,9.458257162676952,5991.063352,6133.064853,8.152530781660072,8.152530781660072
pair2_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,266.0578075,260.00274449999995,305.003218,313.02330321,322.003398,129.001361,29.328670112247686,53211.561499999996,13598.14349,14.707890098900553,3.676972524725138
pair3_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,119.78126725999999,124.001312,130.001375,130.5113811,131.001386,102.001079,9.924903826460234,5989.063363,6130.064856,8.156520554763931,8.156520554763931
pair3_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,272.012872675,286.00302,302.15319059999996,312.03329630999997,318.003358,99.001045,29.821050715460547,54402.574535,13985.147694,14.300885795135743,3.5752214487839358
