run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,2,LC_REQUEST,13609201846078,13609223846310,22.000232,22.000232,1.000000,22.000232,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,3,LC_PREFILL_SUBMISSION,13609204846109,13609207846141,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,4,LC_PREFILL_SYNC,13609210846173,13609213846205,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,5,LC_DECODE_STEP,13609215846226,13609220846279,5.000053,5.000053,1.000000,5.000053,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,6,LC_REQUEST,13609227846353,13609248846575,21.000222,18.000191,0.857143,18.000191,0.857143,2,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,7,LC_PREFILL_SUBMISSION,13609230846385,13609233846416,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,8,LC_PREFILL_SYNC,13609236846448,13609238846469,2.000021,2.000021,1.000000,2.000021,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,9,LC_DECODE_STEP,13609242846511,13609245846543,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,10,LC_REQUEST,13609252846617,13609274846850,22.000233,22.000233,1.000000,22.000233,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,11,LC_PREFILL_SUBMISSION,13609255846649,13609258846681,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,12,LC_PREFILL_SYNC,13609261846712,13609264846744,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,13,LC_DECODE_STEP,13609267846776,13609272846829,5.000053,5.000053,1.000000,5.000053,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,14,LC_REQUEST,13609278846892,13609299847114,21.000222,21.000222,1.000000,21.000222,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,15,LC_PREFILL_SUBMISSION,13609281846924,13609284846956,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,16,LC_PREFILL_SYNC,13609287846988,13609290847019,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
pair3_chunk1_lc_vs_1_be_chunked,222477,222477,17,LC_DECODE_STEP,13609293847051,13609296847083,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
